#Image                      Noise
IC348_20151222_00019_450_EA3_mjybm_cr_sm.sdf  122.0
IC348_20160115_00022_450_EA3_mjybm_cr_sm.sdf  103.81
IC348_20160205_00018_450_EA3_mjybm_cr_sm.sdf  55.84
IC348_20160226_00020_450_EA3_mjybm_cr_sm.sdf  113.42
IC348_20160318_00027_450_EA3_mjybm_cr_sm.sdf  97.45
IC348_20160417_00009_450_EA3_mjybm_cr_sm.sdf  64.58
IC348_20160826_00040_450_EA3_mjybm_cr_sm.sdf  393.9
IC348_20161126_00022_450_EA3_mjybm_cr_sm.sdf  98.16
IC348_20170209_00028_450_EA3_mjybm_cr_sm.sdf  281.3
IC348_20170320_00019_450_EA3_mjybm_cr_sm.sdf  299.23
IC348_20170624_00025_450_EA3_mjybm_cr_sm.sdf  277.16
IC348_20170801_00044_450_EA3_mjybm_cr_sm.sdf  190.41
IC348_20170902_00071_450_EA3_mjybm_cr_sm.sdf  116.89
IC348_20170930_00038_450_EA3_mjybm_cr_sm.sdf  196.38
IC348_20171030_00026_450_EA3_mjybm_cr_sm.sdf  928.97
IC348_20171208_00025_450_EA3_mjybm_cr_sm.sdf  249.21
IC348_20180111_00013_450_EA3_mjybm_cr_sm.sdf  205.26
IC348_20180209_00013_450_EA3_mjybm_cr_sm.sdf  186.46
IC348_20180311_00012_450_EA3_mjybm_cr_sm.sdf  407.01
IC348_20180906_00025_450_EA3_mjybm_cr_sm.sdf  535.3
IC348_20180906_00031_450_EA3_mjybm_cr_sm.sdf  1070.24
IC348_20181004_00032_450_EA3_mjybm_cr_sm.sdf  492.48
IC348_20181102_00026_450_EA3_mjybm_cr_sm.sdf  351.94
IC348_20181203_00029_450_EA3_mjybm_cr_sm.sdf  141.0
IC348_20190103_00014_450_EA3_mjybm_cr_sm.sdf  120.56
IC348_20190209_00023_450_EA3_mjybm_cr_sm.sdf  69.82
IC348_20190310_00021_450_EA3_mjybm_cr_sm.sdf  297.74
IC348_20190411_00011_450_EA3_mjybm_cr_sm.sdf  1142.41
IC348_20190712_00037_450_EA3_mjybm_cr_sm.sdf  853.17
IC348_20190812_00080_450_EA3_mjybm_cr_sm.sdf  345.58
IC348_20190909_00049_450_EA3_mjybm_cr_sm.sdf  92.32
IC348_20191009_00032_450_EA3_mjybm_cr_sm.sdf  206.19
IC348_20191111_00033_450_EA3_mjybm_cr_sm.sdf  284.48
IC348_20191219_00022_450_EA3_mjybm_cr_sm.sdf  58.47
IC348_20200124_00021_450_EA3_mjybm_cr_sm.sdf  49.88
IC348_20200222_00026_450_EA3_mjybm_cr_sm.sdf  43.22
NGC1333_20151222_00018_450_EA3_mjybm_cr_sm.sdf  109.2
NGC1333_20160115_00010_450_EA3_mjybm_cr_sm.sdf  149.3
NGC1333_20160205_00017_450_EA3_mjybm_cr_sm.sdf  56.98
NGC1333_20160229_00017_450_EA3_mjybm_cr_sm.sdf  60.06
NGC1333_20160325_00011_450_EA3_mjybm_cr_sm.sdf  118.49
NGC1333_20160802_00031_450_EA3_mjybm_cr_sm.sdf  220.16
NGC1333_20160830_00048_450_EA3_mjybm_cr_sm.sdf  390.95
NGC1333_20161119_00088_450_EA3_mjybm_cr_sm.sdf  109.99
NGC1333_20161126_00021_450_EA3_mjybm_cr_sm.sdf  101.5
NGC1333_20170206_00029_450_EA3_mjybm_cr_sm.sdf  816.68
NGC1333_20170318_00015_450_EA3_mjybm_cr_sm.sdf  865.63
NGC1333_20170624_00019_450_EA3_mjybm_cr_sm.sdf  460.65
NGC1333_20170731_00057_450_EA3_mjybm_cr_sm.sdf  172.71
NGC1333_20170901_00048_450_EA3_mjybm_cr_sm.sdf  142.86
NGC1333_20170930_00036_450_EA3_mjybm_cr_sm.sdf  202.07
NGC1333_20171030_00022_450_EA3_mjybm_cr_sm.sdf  580.91
NGC1333_20171208_00018_450_EA3_mjybm_cr_sm.sdf  413.19
NGC1333_20180111_00027_450_EA3_mjybm_cr_sm.sdf  130.38
NGC1333_20180208_00013_450_EA3_mjybm_cr_sm.sdf  303.45
NGC1333_20180311_00010_450_EA3_mjybm_cr_sm.sdf  288.46
NGC1333_20180707_00016_450_EA3_mjybm_cr_sm.sdf  1405.77
NGC1333_20180708_00057_450_EA3_mjybm_cr_sm.sdf  943.66
NGC1333_20180908_00011_450_EA3_mjybm_cr_sm.sdf  445.71
NGC1333_20181022_00031_450_EA3_mjybm_cr_sm.sdf  170.74
NGC1333_20181120_00018_450_EA3_mjybm_cr_sm.sdf  74.87
NGC1333_20181120_00021_450_EA3_mjybm_cr_sm.sdf  60.07
NGC1333_20181221_00044_450_EA3_mjybm_cr_sm.sdf  113.15
NGC1333_20190118_00031_450_EA3_mjybm_cr_sm.sdf  57.94
NGC1333_20190226_00022_450_EA3_mjybm_cr_sm.sdf  75.31
NGC1333_20190327_00015_450_EA3_mjybm_cr_sm.sdf  236.56
NGC1333_20190710_00009_450_EA3_mjybm_cr_sm.sdf  421.61
NGC1333_20190812_00075_450_EA3_mjybm_cr_sm.sdf  477.26
NGC1333_20190909_00065_450_EA3_mjybm_cr_sm.sdf  101.4
NGC1333_20191009_00028_450_EA3_mjybm_cr_sm.sdf  275.38
NGC1333_20191111_00029_450_EA3_mjybm_cr_sm.sdf  291.17
NGC1333_20191219_00019_450_EA3_mjybm_cr_sm.sdf  59.37
NGC1333_20200124_00019_450_EA3_mjybm_cr_sm.sdf  51.02
